asset_id,platform_type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],vibration_g_rms,kurtosis,hydraulic_pressure_psi
DEF-00782,T-90 Bhishma MBT,302.7,316.5,1140,82.4,45,0.0306,2.87,163
DEF-00783,BMP-2 Sarath ICV,311.6,326.5,1218,26.0,135,0.0458,2.86,197
DEF-00784,BMP-2 Sarath ICV,309.0,323.4,2344,38.3,217,0.0613,3.11,177
DEF-00785,BMP-2 Sarath ICV,311.5,326.2,1531,36.9,1,0.0669,3.41,208
DEF-00786,Arjun Mk-II MBT,310.8,323.8,1492,23.7,96,0.0594,2.8,173
DEF-00787,BMP-2 Sarath ICV,311.4,326.2,1421,18.7,190,0.0361,2.83,205
DEF-00788,BMP-2 Sarath ICV,304.6,312.8,1580,85.3,66,0.191,3.55,208
DEF-00789,Su-30MKI Fighter,296.9,305.0,1178,64.8,168,0.0494,3.35,177
DEF-00790,Arjun Mk-II MBT,294.7,302.9,1856,15.2,159,0.2,3.62,154
DEF-00791,BMP-2 Sarath ICV,301.9,311.6,1939,57.4,165,0.121,3.57,162
DEF-00792,K9 Vajra Howitzer,307.4,321.1,1389,53.0,218,0.0559,3.0,207
DEF-00793,BMP-2 Sarath ICV,296.5,308.9,2777,13.3,87,0.4371,4.51,142
DEF-00794,Arjun Mk-II MBT,295.3,307.9,1126,36.7,116,0.0755,3.02,179
DEF-00795,BMP-2 Sarath ICV,309.5,318.9,2409,46.9,169,0.1166,3.47,153
DEF-00796,Su-30MKI Fighter,293.0,307.4,2172,37.7,101,0.071,3.15,192
DEF-00797,T-90 Bhishma MBT,308.8,318.0,2460,56.0,113,0.0439,3.29,214
DEF-00798,K9 Vajra Howitzer,296.9,308.8,1704,49.3,19,0.1667,3.28,196
DEF-00799,T-90 Bhishma MBT,305.4,320.0,2266,63.1,28,0.0562,3.05,209
DEF-00800,K9 Vajra Howitzer,301.7,314.1,2155,73.5,227,0.0761,2.91,205
DEF-00801,BMP-2 Sarath ICV,308.7,319.0,1859,27.5,222,0.1761,3.52,172
DEF-00802,K9 Vajra Howitzer,298.0,307.0,1380,37.2,178,0.437,4.41,179
DEF-00803,K9 Vajra Howitzer,307.2,320.0,1950,68.8,129,0.5131,4.72,157
DEF-00804,Arjun Mk-II MBT,306.5,318.5,2138,71.4,223,0.0324,2.93,210
DEF-00805,BMP-2 Sarath ICV,297.3,311.7,1243,24.5,81,0.047,3.1,161
DEF-00806,T-90 Bhishma MBT,305.1,315.7,2685,60.0,174,0.6832,4.92,140
DEF-00807,Arjun Mk-II MBT,311.9,322.7,1289,83.6,186,0.2065,3.65,163
DEF-00808,Arjun Mk-II MBT,310.8,323.3,2230,29.3,170,0.0365,3.27,165
DEF-00809,BMP-2 Sarath ICV,307.9,320.0,2641,12.8,189,0.049,3.19,167
DEF-00810,T-90 Bhishma MBT,302.8,315.6,1866,58.4,37,0.0632,2.91,144
DEF-00811,K9 Vajra Howitzer,310.8,319.0,2004,31.7,157,1.0483,6.51,201
DEF-00812,Arjun Mk-II MBT,311.6,321.6,1389,31.5,137,0.2076,3.74,180
DEF-00813,Arjun Mk-II MBT,296.3,305.8,1369,16.5,50,0.0336,2.8,200
DEF-00814,T-90 Bhishma MBT,297.1,311.5,2257,61.1,90,0.0589,3.21,181
DEF-00815,BMP-2 Sarath ICV,298.7,309.1,1340,60.3,28,0.0647,3.08,168
DEF-00816,BMP-2 Sarath ICV,298.3,312.2,1527,39.1,32,0.1552,3.27,144
DEF-00817,T-90 Bhishma MBT,300.1,314.3,2309,86.9,43,0.2191,3.38,197
DEF-00818,Su-30MKI Fighter,306.1,318.1,2169,78.5,95,0.1501,3.2,157
DEF-00819,Arjun Mk-II MBT,307.4,319.0,2534,21.0,90,0.0798,3.39,182
DEF-00820,Su-30MKI Fighter,311.6,325.4,2876,39.5,240,1.1135,6.21,160
DEF-00821,T-90 Bhishma MBT,311.4,324.3,1640,74.3,125,0.0736,3.03,218
DEF-00822,K9 Vajra Howitzer,310.2,321.4,2577,82.9,235,0.0543,3.26,161
DEF-00823,Arjun Mk-II MBT,302.5,313.8,1668,13.5,13,0.0387,2.78,190
DEF-00824,BMP-2 Sarath ICV,301.9,314.7,1865,78.3,173,0.1216,3.31,146
DEF-00825,T-90 Bhishma MBT,296.2,311.1,1620,86.8,39,0.8685,5.4,181
DEF-00826,Arjun Mk-II MBT,294.1,305.0,1824,81.5,206,0.2237,3.54,167
DEF-00827,T-90 Bhishma MBT,310.8,322.1,2194,24.1,212,0.0642,2.87,208
DEF-00828,BMP-2 Sarath ICV,307.9,321.0,1521,48.5,96,0.2103,3.38,209
DEF-00829,Arjun Mk-II MBT,302.5,314.8,1944,40.8,86,0.0627,2.81,205
DEF-00830,T-90 Bhishma MBT,294.1,303.0,1189,56.4,178,0.0739,3.08,151
DEF-00831,BMP-2 Sarath ICV,310.5,322.7,1365,20.3,68,0.5245,4.57,218
DEF-00832,T-90 Bhishma MBT,304.4,317.5,2678,23.4,5,0.0503,3.27,173
DEF-00833,BMP-2 Sarath ICV,309.1,319.2,2394,51.8,172,0.0601,3.36,201
DEF-00834,K9 Vajra Howitzer,308.8,321.4,1157,22.0,19,0.2306,3.81,172
DEF-00835,T-90 Bhishma MBT,296.6,309.3,1729,24.0,190,0.7755,5.34,182
DEF-00836,BMP-2 Sarath ICV,296.5,307.3,1383,50.5,108,0.0691,3.3,167
DEF-00837,BMP-2 Sarath ICV,310.8,320.5,1981,58.9,69,0.031,2.77,193
DEF-00838,Su-30MKI Fighter,309.5,322.7,1166,78.8,212,0.6249,4.9,165
DEF-00839,K9 Vajra Howitzer,310.5,321.2,1784,53.6,0,0.9262,5.83,187
DEF-00840,BMP-2 Sarath ICV,310.8,320.6,1561,36.0,98,0.056,3.14,195
DEF-00841,K9 Vajra Howitzer,308.2,320.6,1937,46.5,241,0.05,3.05,201
DEF-00842,K9 Vajra Howitzer,301.3,312.2,1795,28.7,147,0.2044,3.48,144
DEF-00843,K9 Vajra Howitzer,311.8,324.8,2392,56.9,170,0.0569,3.01,177
DEF-00844,Arjun Mk-II MBT,303.4,315.8,2387,31.3,135,0.0503,3.01,181
DEF-00845,Arjun Mk-II MBT,300.8,309.3,1250,78.1,207,0.7161,5.02,212
DEF-00846,T-90 Bhishma MBT,294.9,304.4,1240,33.7,133,0.1692,3.5,177
DEF-00847,BMP-2 Sarath ICV,312.0,322.6,2051,34.7,94,0.2213,3.7,206
DEF-00848,K9 Vajra Howitzer,304.7,312.9,2574,12.1,50,0.2362,3.43,176
DEF-00849,BMP-2 Sarath ICV,303.3,316.1,2776,37.9,223,0.1608,3.7,216
DEF-00850,BMP-2 Sarath ICV,299.4,311.6,1459,40.6,217,0.0781,3.41,162
DEF-00851,Su-30MKI Fighter,300.6,313.7,1581,53.7,194,0.0542,3.29,149
DEF-00852,BMP-2 Sarath ICV,305.1,318.0,1178,45.2,180,0.0761,3.29,158
DEF-00853,BMP-2 Sarath ICV,311.7,322.7,1704,67.4,153,0.0365,2.93,155
DEF-00854,T-90 Bhishma MBT,311.6,320.3,2509,31.6,23,0.0757,2.92,215
DEF-00855,BMP-2 Sarath ICV,303.8,316.2,2528,27.9,194,0.1931,3.77,186
DEF-00856,T-90 Bhishma MBT,304.9,315.6,2437,87.8,183,0.0506,2.87,199
DEF-00857,Su-30MKI Fighter,307.9,317.7,1695,75.6,36,0.0722,3.18,195
DEF-00858,Arjun Mk-II MBT,297.8,311.0,2176,17.8,208,1.3148,7.13,196
DEF-00859,BMP-2 Sarath ICV,301.9,311.1,1545,26.9,204,0.1459,3.62,190
DEF-00860,K9 Vajra Howitzer,311.7,326.6,2579,41.3,192,0.0706,2.84,174
DEF-00861,BMP-2 Sarath ICV,310.2,325.0,2426,48.9,36,0.0716,3.4,162
DEF-00862,Arjun Mk-II MBT,308.7,318.4,2365,65.1,228,0.0398,3.13,210
DEF-00863,BMP-2 Sarath ICV,307.8,318.1,2362,48.9,55,0.0493,3.26,169
DEF-00864,BMP-2 Sarath ICV,296.5,306.0,1855,72.4,227,0.0779,3.01,213
DEF-00865,T-90 Bhishma MBT,299.4,312.2,1616,82.2,113,0.5283,4.89,200
DEF-00866,Su-30MKI Fighter,311.7,326.1,2460,67.9,122,0.8537,5.75,144
DEF-00867,Arjun Mk-II MBT,294.4,308.3,2228,45.4,241,0.0722,2.86,208
DEF-00868,Su-30MKI Fighter,309.3,322.4,1606,87.7,43,0.5097,4.29,148
DEF-00869,K9 Vajra Howitzer,293.7,303.4,1788,12.7,75,0.0694,3.07,206
DEF-00870,K9 Vajra Howitzer,312.0,322.8,2326,70.0,149,0.735,5.29,148
DEF-00871,Su-30MKI Fighter,293.8,302.7,2706,26.7,136,0.0361,2.97,176
DEF-00872,T-90 Bhishma MBT,309.4,322.0,1812,75.8,195,0.0642,2.96,181
DEF-00873,T-90 Bhishma MBT,300.4,312.5,1854,84.6,121,0.0451,3.13,188
DEF-00874,Su-30MKI Fighter,306.1,319.6,2640,37.3,177,0.1881,3.35,217
DEF-00875,BMP-2 Sarath ICV,298.0,307.5,1125,75.6,92,0.0571,3.22,169
DEF-00876,BMP-2 Sarath ICV,294.6,304.4,1144,59.7,207,0.112,3.26,154
DEF-00877,Su-30MKI Fighter,310.9,319.5,1616,27.6,39,0.0796,3.45,182
DEF-00878,K9 Vajra Howitzer,300.6,312.8,1250,72.9,228,0.0785,3.05,209
DEF-00879,T-90 Bhishma MBT,311.9,322.4,1254,72.5,210,0.0661,3.39,162
DEF-00880,BMP-2 Sarath ICV,305.7,313.9,1614,47.4,227,0.0783,2.95,213
DEF-00881,Su-30MKI Fighter,303.5,312.4,1193,72.1,232,0.0575,3.23,212
DEF-00882,T-90 Bhishma MBT,300.4,309.3,1534,64.9,223,1.3938,7.4,171
DEF-00883,T-90 Bhishma MBT,306.1,320.7,2894,80.8,144,0.1224,3.38,211
DEF-00884,BMP-2 Sarath ICV,306.5,315.3,1875,29.4,137,0.0733,3.34,184
DEF-00885,Arjun Mk-II MBT,296.9,308.6,2501,76.2,162,0.0596,2.99,178
DEF-00886,BMP-2 Sarath ICV,300.5,312.7,2603,44.8,48,0.0489,2.9,151
DEF-00887,Arjun Mk-II MBT,310.9,322.3,2420,28.4,243,1.2769,6.93,185
DEF-00888,K9 Vajra Howitzer,301.5,311.2,1582,49.6,144,0.0795,3.04,204
DEF-00889,BMP-2 Sarath ICV,300.2,313.9,2297,29.7,194,1.4046,7.42,153
DEF-00890,T-90 Bhishma MBT,303.3,317.6,1388,71.3,100,0.0534,2.83,212
DEF-00891,Arjun Mk-II MBT,307.8,316.8,1471,72.3,18,0.1862,3.29,184
DEF-00892,K9 Vajra Howitzer,302.1,312.2,1751,23.0,127,0.2084,3.36,205
DEF-00893,Arjun Mk-II MBT,302.0,315.3,2564,87.7,244,0.0758,3.15,160
DEF-00894,T-90 Bhishma MBT,310.7,324.0,2307,78.5,87,0.4061,4.37,186
DEF-00895,K9 Vajra Howitzer,300.3,313.4,1807,43.7,79,0.0674,2.83,165
DEF-00896,BMP-2 Sarath ICV,295.1,303.5,2090,78.6,17,0.1937,3.77,163
DEF-00897,BMP-2 Sarath ICV,303.3,316.3,2750,81.9,140,0.1211,3.41,149
DEF-00898,BMP-2 Sarath ICV,294.5,309.5,1898,65.6,177,0.4133,4.14,178
DEF-00899,Arjun Mk-II MBT,309.3,322.0,2687,17.1,113,0.0305,2.83,214
DEF-00900,BMP-2 Sarath ICV,301.9,313.0,2827,42.7,223,0.0586,2.96,189
DEF-00901,Su-30MKI Fighter,295.8,307.9,2281,51.8,117,0.0334,3.09,170
DEF-00902,BMP-2 Sarath ICV,296.2,307.0,1639,25.0,72,0.0529,3.28,189
DEF-00903,Arjun Mk-II MBT,297.3,309.5,2734,36.0,183,0.0718,3.38,197
DEF-00904,Arjun Mk-II MBT,309.1,322.8,1651,59.5,143,0.0724,2.89,194
DEF-00905,K9 Vajra Howitzer,304.7,313.0,2304,30.1,7,0.9461,6.17,171
DEF-00906,K9 Vajra Howitzer,304.7,312.8,2882,34.1,140,0.0401,3.15,203
DEF-00907,BMP-2 Sarath ICV,300.9,313.1,1926,14.2,231,0.0446,3.28,176
DEF-00908,K9 Vajra Howitzer,310.0,320.4,1172,78.4,32,0.0317,3.16,156
DEF-00909,Arjun Mk-II MBT,296.8,309.4,2816,63.2,129,0.0716,2.86,195
DEF-00910,K9 Vajra Howitzer,296.5,304.6,1361,73.7,130,0.0676,3.07,146
DEF-00911,Arjun Mk-II MBT,301.2,310.6,2052,73.4,64,0.0479,3.12,200
DEF-00912,Arjun Mk-II MBT,306.9,316.8,1774,49.6,24,0.2037,3.37,175
DEF-00913,K9 Vajra Howitzer,302.2,313.4,2624,69.1,88,0.2332,3.73,192
DEF-00914,T-90 Bhishma MBT,293.7,305.1,1901,36.0,86,0.0651,3.13,210
DEF-00915,Arjun Mk-II MBT,302.5,310.8,2714,81.0,61,0.0686,2.89,175
DEF-00916,Su-30MKI Fighter,310.9,325.2,1121,74.5,215,0.0421,2.96,186
DEF-00917,T-90 Bhishma MBT,302.9,316.6,1555,77.6,216,0.5359,4.87,205
DEF-00918,Su-30MKI Fighter,308.5,322.8,2028,68.3,153,0.2295,3.77,205
DEF-00919,K9 Vajra Howitzer,300.0,308.7,1145,13.7,195,0.1894,3.71,217
DEF-00920,Arjun Mk-II MBT,306.9,320.4,2457,56.1,121,0.0574,3.21,155
DEF-00921,T-90 Bhishma MBT,310.3,322.0,2076,18.2,143,0.0453,3.32,216
DEF-00922,K9 Vajra Howitzer,299.6,310.8,1931,68.1,13,0.0669,3.23,149
DEF-00923,K9 Vajra Howitzer,294.0,303.2,1881,25.0,164,0.8761,5.85,201
DEF-00924,Su-30MKI Fighter,311.4,319.5,2545,57.4,43,0.0426,2.86,182
DEF-00925,T-90 Bhishma MBT,302.5,311.3,2713,53.5,74,0.0722,3.04,197
DEF-00926,Arjun Mk-II MBT,293.3,304.2,2876,78.1,115,0.038,3.04,190
DEF-00927,Arjun Mk-II MBT,299.5,311.7,1498,63.9,190,0.0626,3.27,200
DEF-00928,BMP-2 Sarath ICV,308.2,318.6,1653,51.5,76,0.1027,3.34,193
DEF-00929,BMP-2 Sarath ICV,307.8,317.5,2540,56.5,212,0.0318,3.01,202
DEF-00930,T-90 Bhishma MBT,306.2,314.9,2799,79.3,208,1.1941,6.65,153
DEF-00931,K9 Vajra Howitzer,311.6,326.1,1319,18.2,156,0.8769,5.95,185
DEF-00932,K9 Vajra Howitzer,310.2,320.0,2479,31.5,43,0.1469,3.28,142
DEF-00933,K9 Vajra Howitzer,303.6,317.7,2201,32.9,62,0.0695,3.18,196
DEF-00934,T-90 Bhishma MBT,293.6,308.0,2170,69.7,51,0.6026,4.81,167
DEF-00935,Arjun Mk-II MBT,310.2,324.3,2539,72.5,128,0.1214,3.11,180
DEF-00936,BMP-2 Sarath ICV,294.4,306.5,1988,71.8,108,0.0767,3.18,175
DEF-00937,Arjun Mk-II MBT,296.2,310.2,2532,22.8,125,0.0635,2.86,219
DEF-00938,Arjun Mk-II MBT,293.4,304.9,2450,70.3,93,0.5539,4.97,218
DEF-00939,Arjun Mk-II MBT,294.0,303.2,2727,74.7,165,0.0619,3.27,148
DEF-00940,BMP-2 Sarath ICV,297.6,307.6,2670,33.0,175,0.1325,3.38,205
DEF-00941,T-90 Bhishma MBT,296.7,306.9,2581,69.8,238,0.0638,2.89,145
DEF-00942,Arjun Mk-II MBT,297.8,306.2,1686,49.2,189,0.0761,3.19,215
DEF-00943,Su-30MKI Fighter,309.4,322.9,1254,86.7,202,0.0324,2.79,214
DEF-00944,Su-30MKI Fighter,309.0,322.1,2602,54.5,230,0.0738,3.12,212
DEF-00945,BMP-2 Sarath ICV,306.9,320.2,1119,66.9,212,0.7633,5.26,188
DEF-00946,Arjun Mk-II MBT,300.4,314.0,2767,16.5,9,0.0475,3.15,154
DEF-00947,Su-30MKI Fighter,309.3,323.5,1795,58.8,26,0.0562,3.31,193
DEF-00948,T-90 Bhishma MBT,310.0,318.1,1710,33.4,226,0.2117,3.35,151
DEF-00949,T-90 Bhishma MBT,306.5,314.8,2510,37.2,125,0.1581,3.69,177
DEF-00950,Arjun Mk-II MBT,293.9,306.4,2349,64.0,51,0.0452,2.99,202
DEF-00951,Su-30MKI Fighter,295.8,309.7,2731,15.8,42,0.2176,3.85,173
DEF-00952,T-90 Bhishma MBT,297.7,308.7,1509,22.4,112,0.0424,2.8,153
DEF-00953,Su-30MKI Fighter,306.5,319.2,1758,82.0,137,0.2352,3.37,166
DEF-00954,Su-30MKI Fighter,301.1,314.6,2505,57.3,178,0.0301,2.7,214
DEF-00955,K9 Vajra Howitzer,303.7,317.7,1491,14.1,149,0.0796,3.18,178
DEF-00956,K9 Vajra Howitzer,294.0,306.8,2228,27.2,243,0.1035,3.33,165
DEF-00957,Arjun Mk-II MBT,299.6,308.8,2633,46.5,145,0.0409,2.87,209
DEF-00958,Arjun Mk-II MBT,297.8,308.8,2012,41.8,156,0.0644,3.39,141
DEF-00959,Su-30MKI Fighter,295.2,303.3,2258,78.4,107,0.042,2.96,178
DEF-00960,K9 Vajra Howitzer,310.7,320.8,1489,40.0,13,0.0473,3.23,178
DEF-00961,Su-30MKI Fighter,302.9,317.5,2548,59.5,103,0.0535,2.9,177
DEF-00962,BMP-2 Sarath ICV,301.6,311.2,2168,12.4,84,1.3855,7.14,140
DEF-00963,K9 Vajra Howitzer,303.1,314.6,2180,51.4,238,1.3846,7.05,165
DEF-00964,Arjun Mk-II MBT,298.0,307.3,1671,85.6,48,0.0549,3.0,169
DEF-00965,K9 Vajra Howitzer,308.5,321.2,1748,38.8,157,0.1603,3.68,212
DEF-00966,Su-30MKI Fighter,305.3,314.1,2171,45.0,230,0.0324,2.86,140
DEF-00967,T-90 Bhishma MBT,311.9,323.1,1625,26.0,22,0.0505,3.24,161
DEF-00968,T-90 Bhishma MBT,307.7,320.0,2375,16.5,157,0.2063,3.5,201
DEF-00969,BMP-2 Sarath ICV,301.7,312.0,1952,50.3,126,1.1167,6.64,162
DEF-00970,Su-30MKI Fighter,310.4,321.9,2352,46.1,163,0.0749,3.22,149
DEF-00971,Su-30MKI Fighter,298.2,309.9,1546,27.7,121,0.0393,2.96,156
DEF-00972,T-90 Bhishma MBT,305.1,317.5,1598,24.9,203,0.0313,3.07,164
DEF-00973,BMP-2 Sarath ICV,309.9,323.7,1568,79.5,16,0.0765,3.36,219
DEF-00974,T-90 Bhishma MBT,305.0,318.4,2074,80.6,3,0.4803,4.25,142
DEF-00975,Su-30MKI Fighter,308.7,320.1,1431,76.9,41,0.8176,5.44,193
DEF-00976,K9 Vajra Howitzer,308.5,322.7,2781,51.2,47,0.0411,2.94,172
DEF-00977,Su-30MKI Fighter,301.9,313.4,1325,76.1,76,0.0441,2.89,199
DEF-00978,K9 Vajra Howitzer,298.6,309.7,1361,24.2,158,0.0367,3.2,174
DEF-00979,Arjun Mk-II MBT,310.7,323.3,2237,37.9,229,0.0421,2.79,203
DEF-00980,T-90 Bhishma MBT,296.0,306.6,2657,24.3,235,0.0737,3.29,176
DEF-00981,T-90 Bhishma MBT,300.1,312.6,1406,54.5,68,0.1123,3.07,186
DEF-00982,T-90 Bhishma MBT,311.9,323.1,1798,69.4,116,0.2289,3.66,144
DEF-00983,Arjun Mk-II MBT,307.2,316.4,1401,16.9,80,1.03,6.28,174
DEF-00984,BMP-2 Sarath ICV,306.1,318.9,1944,34.6,221,0.0697,3.36,198
DEF-00985,BMP-2 Sarath ICV,305.1,319.5,2578,36.2,114,0.0471,2.84,148
DEF-00986,BMP-2 Sarath ICV,296.6,309.8,2146,24.1,100,0.0385,2.81,194
DEF-00987,Arjun Mk-II MBT,310.6,320.1,1754,54.9,111,0.1487,3.21,218
DEF-00988,T-90 Bhishma MBT,302.0,310.4,2712,80.4,191,0.0533,2.81,198
DEF-00989,Arjun Mk-II MBT,307.8,321.4,1747,20.4,140,0.059,2.84,187
DEF-00990,BMP-2 Sarath ICV,299.2,308.6,1425,16.6,218,0.0529,2.96,140
DEF-00991,BMP-2 Sarath ICV,305.7,315.4,2874,56.5,139,0.4669,4.62,177
DEF-00992,Arjun Mk-II MBT,296.9,311.3,1670,50.7,200,0.0317,2.93,162
DEF-00993,K9 Vajra Howitzer,296.1,310.7,1696,68.4,204,0.0707,3.26,158
DEF-00994,T-90 Bhishma MBT,305.2,319.5,2337,42.1,235,0.0597,3.16,161
DEF-00995,Arjun Mk-II MBT,300.1,311.8,2450,48.4,242,0.0712,3.38,146
DEF-00996,Arjun Mk-II MBT,307.9,316.0,1173,14.8,59,0.059,2.93,158
DEF-00997,Arjun Mk-II MBT,302.8,315.6,2216,39.7,192,0.7446,5.55,157
DEF-00998,Arjun Mk-II MBT,304.1,318.8,2547,35.8,18,0.0581,3.31,159
DEF-00999,BMP-2 Sarath ICV,303.7,312.3,1639,79.5,101,0.0631,2.9,184
DEF-01000,T-90 Bhishma MBT,304.2,318.3,1416,31.0,113,0.1021,3.33,175
DEF-01001,T-90 Bhishma MBT,307.4,319.8,1195,48.9,7,0.8043,5.69,156
DEF-01002,K9 Vajra Howitzer,301.7,312.0,1708,60.5,124,0.0422,2.97,160
DEF-01003,Arjun Mk-II MBT,298.3,310.1,2346,75.9,78,0.0766,3.01,187
DEF-01004,T-90 Bhishma MBT,308.3,317.3,1937,64.7,63,0.0628,2.94,172
DEF-01005,Su-30MKI Fighter,303.7,314.3,2448,13.9,239,0.0782,2.85,208
DEF-01006,Arjun Mk-II MBT,300.6,314.0,1572,15.3,169,0.0507,2.93,167
DEF-01007,T-90 Bhishma MBT,293.8,303.0,2036,78.7,39,0.2254,3.49,192
DEF-01008,Su-30MKI Fighter,299.0,313.0,2111,57.8,103,0.0564,3.22,140
DEF-01009,Arjun Mk-II MBT,305.6,315.4,1168,44.1,153,0.1909,3.46,167
DEF-01010,T-90 Bhishma MBT,293.3,303.8,1696,38.0,101,0.1018,3.08,214
DEF-01011,BMP-2 Sarath ICV,298.7,308.5,2454,85.1,86,0.1869,3.34,195
DEF-01012,BMP-2 Sarath ICV,310.2,318.3,2159,54.2,186,0.183,3.77,206
DEF-01013,T-90 Bhishma MBT,298.2,310.0,1592,79.5,210,0.9914,5.84,188
DEF-01014,K9 Vajra Howitzer,303.7,317.3,2368,13.9,113,0.0792,3.37,212
DEF-01015,T-90 Bhishma MBT,309.4,321.2,2073,29.8,182,0.0611,3.06,174
DEF-01016,Su-30MKI Fighter,300.0,310.1,1407,49.4,129,0.0521,3.29,167
DEF-01017,T-90 Bhishma MBT,305.9,317.0,2317,28.5,200,0.0715,3.2,141
DEF-01018,Arjun Mk-II MBT,303.6,317.3,1959,75.7,72,0.0641,2.91,189
DEF-01019,Arjun Mk-II MBT,299.2,309.3,1756,22.2,28,0.0399,2.86,194
DEF-01020,T-90 Bhishma MBT,298.8,310.1,1739,15.1,123,0.9664,6.27,173
DEF-01021,K9 Vajra Howitzer,303.7,316.2,2433,29.1,189,0.0634,3.16,179
DEF-01022,T-90 Bhishma MBT,297.4,309.5,2542,23.2,169,0.0785,3.26,214
DEF-01023,T-90 Bhishma MBT,296.9,311.0,2178,49.0,184,0.0456,2.95,203
DEF-01024,BMP-2 Sarath ICV,306.1,316.0,2454,27.8,64,0.0356,2.97,161
DEF-01025,Su-30MKI Fighter,299.7,314.0,1604,84.8,4,0.0433,3.28,195
DEF-01026,Su-30MKI Fighter,303.5,317.3,1825,41.5,204,0.4536,4.31,204
DEF-01027,BMP-2 Sarath ICV,299.9,310.5,1768,75.5,101,0.0397,2.93,189
DEF-01028,Arjun Mk-II MBT,302.0,311.4,1717,33.6,237,0.0784,3.34,147
DEF-01029,K9 Vajra Howitzer,308.1,322.9,1881,50.1,129,0.0553,3.12,171
DEF-01030,T-90 Bhishma MBT,297.4,308.1,1782,29.8,222,0.1207,3.55,186
DEF-01031,T-90 Bhishma MBT,305.9,314.0,1751,12.2,237,0.0683,3.36,143
DEF-01032,Arjun Mk-II MBT,297.0,310.6,1894,30.8,228,0.1515,3.59,199
DEF-01033,T-90 Bhishma MBT,306.3,317.4,2311,36.0,35,0.1424,3.21,182
DEF-01034,Arjun Mk-II MBT,311.9,322.2,2691,35.8,135,0.0473,3.14,217
DEF-01035,T-90 Bhishma MBT,293.8,308.7,2675,74.2,155,0.1848,3.33,166
DEF-01036,Su-30MKI Fighter,304.6,318.1,2346,79.6,179,0.0468,2.87,142
DEF-01037,Arjun Mk-II MBT,306.2,315.5,1777,78.0,119,0.0794,3.14,153
DEF-01038,Su-30MKI Fighter,296.8,306.6,2871,79.7,193,0.1762,3.32,208
DEF-01039,Su-30MKI Fighter,301.9,316.4,1397,19.9,212,0.1738,3.61,173
DEF-01040,BMP-2 Sarath ICV,299.4,311.8,2312,71.4,65,0.0704,3.12,178
DEF-01041,Su-30MKI Fighter,308.7,321.4,2887,64.0,204,0.0444,3.28,140
DEF-01042,BMP-2 Sarath ICV,297.1,305.2,1339,49.6,91,0.0574,2.92,152
DEF-01043,T-90 Bhishma MBT,309.9,317.9,1839,60.8,108,0.0714,2.84,176
DEF-01044,Arjun Mk-II MBT,311.8,321.6,2740,40.3,207,0.056,3.01,196
DEF-01045,Arjun Mk-II MBT,310.4,318.5,2440,67.0,51,0.2046,3.76,199
DEF-01046,K9 Vajra Howitzer,295.9,305.7,2398,81.5,37,0.2335,3.8,208
DEF-01047,Su-30MKI Fighter,308.2,316.4,2397,14.8,6,0.0717,3.35,211
DEF-01048,BMP-2 Sarath ICV,294.6,307.0,2849,37.0,2,0.4665,4.27,140
DEF-01049,K9 Vajra Howitzer,293.2,302.2,2755,68.7,136,0.1176,3.35,219
DEF-01050,BMP-2 Sarath ICV,302.5,314.7,1630,58.5,80,0.0459,3.04,149
DEF-01051,K9 Vajra Howitzer,299.1,309.1,2590,41.2,175,0.0673,3.01,206
DEF-01052,Su-30MKI Fighter,304.4,313.9,2760,47.1,135,0.061,3.2,200
DEF-01053,Arjun Mk-II MBT,308.2,318.1,2446,53.0,184,0.0546,2.91,193
DEF-01054,Arjun Mk-II MBT,297.1,305.6,1355,82.6,69,0.124,3.54,143
DEF-01055,T-90 Bhishma MBT,298.7,310.0,2207,52.7,20,0.9959,5.97,187
DEF-01056,K9 Vajra Howitzer,309.4,321.1,1412,19.9,138,0.0596,3.3,164
DEF-01057,K9 Vajra Howitzer,298.2,307.3,2156,31.5,59,1.3808,7.02,165
DEF-01058,T-90 Bhishma MBT,304.5,312.6,1304,27.1,112,0.0661,3.11,199
DEF-01059,Arjun Mk-II MBT,300.6,310.8,1184,34.4,73,1.0397,5.99,195
DEF-01060,BMP-2 Sarath ICV,298.8,310.0,2805,74.0,114,0.23,3.75,206
DEF-01061,BMP-2 Sarath ICV,295.0,305.0,2466,28.0,240,0.0642,3.3,214
DEF-01062,BMP-2 Sarath ICV,308.3,318.2,1938,57.1,88,0.052,2.85,150
DEF-01063,Arjun Mk-II MBT,310.5,319.2,2616,42.0,173,0.0619,3.34,142
DEF-01064,K9 Vajra Howitzer,301.5,311.7,2429,76.2,203,0.069,2.87,155
DEF-01065,BMP-2 Sarath ICV,306.8,319.6,2136,35.5,1,0.0732,3.22,177
DEF-01066,BMP-2 Sarath ICV,296.4,308.6,2272,20.6,11,0.8371,5.46,191
DEF-01067,Arjun Mk-II MBT,300.8,314.9,2752,15.2,127,0.0701,3.39,217
DEF-01068,K9 Vajra Howitzer,310.9,322.3,2285,20.8,138,1.1714,6.73,199
DEF-01069,Arjun Mk-II MBT,308.8,316.9,1799,38.6,87,0.0775,3.44,161
DEF-01070,Su-30MKI Fighter,300.6,309.4,1927,37.3,175,0.0663,3.05,178
