vehicle_id,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],ml_failure_prob,readiness_score,predicted_rul_days,status,ml_model_applied
ARMOR-T90-00729,306.2,305.8,1758,50.3,21,0.06,94,56,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00730,307.7,314.9,2194,60.5,95,0.31,69,41,watch,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00731,303.7,307.3,1829,74.0,180,0.6,40,24,critical,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00732,297.2,310.2,2744,61.7,96,0.41,59,35,watch,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00733,296.1,315.7,1320,65.6,40,0.48,52,31,watch,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00734,302.9,317.4,1652,39.4,154,0.02,98,58,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00735,297.2,306.5,1327,65.8,185,0.69,31,18,critical,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00736,297.1,316.4,2564,52.1,203,0.15,85,51,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00737,307.8,309.2,2705,43.5,241,0.28,72,43,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00738,302.1,310.5,2271,77.1,49,0.52,48,28,watch,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00739,307.5,312.1,1643,47.4,147,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00740,295.4,313.7,2197,74.9,100,0.41,59,35,watch,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00741,298.6,316.3,2146,77.9,5,0.57,43,25,watch,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00742,306.5,307.9,1795,68.8,162,0.58,42,25,watch,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00743,303.6,308.0,2785,80.4,47,0.51,49,29,watch,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00744,303.3,311.6,1673,43.2,235,0.28,72,43,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00745,297.3,309.1,1232,37.2,242,0.23,77,46,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00746,303.5,317.7,2591,34.1,95,0.25,75,45,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00747,307.8,310.7,1613,23.8,241,0.15,85,51,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00748,306.4,310.7,1829,63.9,94,0.43,57,34,watch,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00749,301.2,315.5,2261,49.4,225,0.49,51,30,watch,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00750,299.1,308.5,1903,56.4,110,0.03,97,58,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00751,304.3,316.7,2549,37.7,149,0.2,80,48,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00752,305.2,309.5,1848,22.6,99,0.02,98,58,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00753,306.4,307.6,1450,48.4,138,0.07,93,55,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00754,306.2,313.7,1277,67.5,172,0.74,26,15,critical,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00755,295.4,312.5,1783,66.3,77,0.43,57,34,watch,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00756,304.6,306.5,2571,29.5,242,0.26,74,44,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00757,299.0,307.7,1957,20.8,211,0.22,78,46,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00758,295.4,312.9,2773,79.8,76,0.38,62,37,watch,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00759,306.9,313.9,2769,28.0,32,0.2,80,48,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00760,307.0,307.7,2221,55.9,167,0.07,93,55,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00761,304.1,316.8,2772,52.4,58,0.13,87,52,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00762,295.8,314.6,2609,53.0,200,0.11,89,53,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00763,300.7,315.3,2451,31.0,130,0.02,98,58,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00764,302.5,312.9,1266,84.1,9,0.55,44,26,watch,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00765,304.6,307.7,2533,73.0,27,0.42,58,34,watch,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00766,304.2,314.8,2633,48.1,127,0.15,85,51,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00767,301.1,317.3,2719,72.0,76,0.49,51,30,watch,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00768,296.2,310.6,2216,29.0,192,0.02,98,58,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00769,298.0,315.1,2633,51.0,165,0.11,89,53,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00770,305.9,316.1,2269,45.0,144,0.04,96,57,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00771,298.7,308.7,2269,84.2,54,0.7,30,18,critical,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00772,305.6,317.8,2655,82.4,136,0.5,50,30,watch,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00773,301.2,313.5,1607,65.5,177,0.67,32,19,critical,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00774,307.5,306.7,2274,19.6,79,0.08,92,55,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00775,304.5,309.3,2756,15.3,150,0.34,65,39,watch,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00776,304.9,315.3,2531,35.2,36,0.2,80,48,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00777,305.6,309.0,2199,39.7,180,0.03,97,58,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00778,301.9,314.4,1868,77.2,189,0.65,35,21,critical,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00779,300.4,306.6,1282,81.0,196,0.79,20,12,critical,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00780,295.5,313.6,2488,82.9,113,0.36,64,38,watch,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00781,300.8,316.7,2219,54.9,118,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00782,305.3,307.9,1531,84.9,206,0.39,61,36,watch,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00783,302.8,307.7,2404,70.0,132,0.58,42,25,watch,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00784,302.5,306.9,2649,22.0,148,0.18,82,49,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00785,298.5,306.8,1272,68.7,2,0.9,12,5,critical,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00786,301.2,307.5,2181,82.7,115,0.62,38,22,critical,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00787,299.6,309.4,2153,46.4,202,0.09,91,54,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00788,301.0,305.8,2481,39.8,147,0.11,89,53,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00789,295.5,317.6,1908,45.0,0,0.03,97,58,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00790,302.4,312.5,1816,65.9,120,0.59,41,24,watch,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00791,303.7,315.6,1428,73.4,118,0.66,34,20,critical,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00792,297.1,316.4,1207,63.5,194,0.62,38,22,critical,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00793,296.8,307.5,2108,38.4,85,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00794,302.4,313.7,1290,30.6,89,0.07,93,55,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00795,296.6,310.8,1550,55.7,167,0.04,96,57,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00796,297.3,313.7,2705,41.9,202,0.15,85,51,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00797,302.2,307.1,2060,55.1,65,0.07,93,55,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00798,305.7,311.7,2790,45.0,223,0.24,76,45,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00799,298.9,313.7,1858,33.7,33,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00800,297.2,315.2,1728,74.7,245,0.61,39,23,critical,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00801,307.1,314.3,1982,20.0,111,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00802,295.6,305.6,1317,16.5,16,0.0,99,60,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00803,300.3,317.2,1263,22.4,82,0.03,97,58,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00804,304.5,305.9,2166,45.7,248,0.32,68,40,watch,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00805,304.7,311.2,2177,25.0,119,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00806,296.1,308.7,2482,33.8,232,0.26,74,44,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00807,300.9,316.0,2205,45.1,19,0.02,98,58,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00808,298.2,307.0,1552,33.9,134,0.0,99,60,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00809,307.6,306.9,2495,58.8,239,0.33,67,40,watch,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00810,306.3,311.7,2380,67.5,156,0.6,40,24,critical,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00811,300.4,308.5,1258,73.5,72,0.91,12,5,critical,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00812,298.6,310.9,1231,57.3,26,0.02,98,58,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00813,300.7,316.6,1399,41.3,195,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00814,305.3,306.9,1499,37.6,44,0.03,97,58,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00815,297.2,313.7,2059,32.6,149,0.02,98,58,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00816,297.2,311.5,1804,66.7,90,0.6,40,24,critical,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00817,304.3,308.9,1681,58.9,210,0.34,65,39,watch,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00818,296.6,308.0,1351,38.5,4,0.0,99,60,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00819,303.8,317.9,2018,60.0,43,0.26,74,44,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00820,295.6,317.0,1426,58.2,110,0.06,94,56,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00821,295.8,317.0,1850,73.1,23,0.48,52,31,watch,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00822,301.6,305.0,1654,76.7,194,0.62,38,22,critical,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00823,304.9,307.2,2679,22.4,111,0.21,79,47,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00824,305.8,312.3,1776,44.4,222,0.12,88,52,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00825,304.0,309.3,1960,68.2,243,0.52,48,28,watch,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00826,305.5,306.2,2117,71.0,54,0.41,59,35,watch,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00827,299.7,316.3,2281,32.9,217,0.4,60,36,watch,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00828,299.7,311.0,1686,67.6,226,0.73,27,16,critical,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00829,300.3,316.7,1496,55.8,96,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00830,302.9,316.7,2527,54.8,225,0.49,51,30,watch,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00831,301.3,311.4,1704,42.3,12,0.0,99,60,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00832,295.9,314.6,1209,29.3,133,0.03,97,58,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00833,305.8,306.3,2026,74.5,46,0.43,57,34,watch,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00834,301.1,315.4,2034,63.1,171,0.55,44,26,watch,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00835,297.2,311.2,2715,52.2,174,0.12,88,52,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00836,305.8,311.2,2550,34.7,15,0.22,78,46,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00837,301.3,309.6,1705,30.9,106,0.0,99,60,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00838,307.9,313.0,2601,22.4,202,0.2,80,48,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00839,302.9,314.0,1874,84.5,45,0.53,47,28,watch,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00840,302.1,315.9,1892,39.9,150,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00841,298.0,310.9,1304,57.6,56,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00842,307.0,312.2,1760,21.5,105,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00843,298.8,317.8,1753,41.7,83,0.02,98,58,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00844,298.5,306.6,2434,57.0,124,0.11,89,53,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00845,302.4,313.2,2571,52.5,68,0.17,83,49,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00846,298.6,306.2,2021,78.0,144,0.67,32,19,critical,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00847,302.4,306.9,1258,18.2,110,0.28,72,43,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00848,296.3,313.1,2610,75.4,73,0.43,57,34,watch,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00849,297.9,309.6,1271,46.3,217,0.38,62,37,watch,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00850,298.1,311.6,1961,47.8,55,0.0,99,60,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00851,298.0,314.8,1454,78.3,220,0.79,20,12,critical,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00852,296.8,308.0,1804,59.7,1,0.28,72,43,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00853,303.7,307.1,1223,47.9,153,0.46,54,32,watch,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00854,306.8,317.6,1301,65.1,22,0.39,61,36,watch,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00855,301.8,307.9,2389,61.3,0,0.39,61,36,watch,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00856,307.4,313.7,2492,33.0,107,0.2,80,48,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00857,305.8,315.4,1252,37.2,3,0.27,73,43,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00858,305.2,310.1,2288,71.0,235,0.53,47,28,watch,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00859,295.7,311.1,2200,84.1,141,0.6,40,24,critical,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00860,304.9,310.1,1950,44.4,91,0.04,96,57,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00861,302.9,313.3,1602,51.1,192,0.02,98,58,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00862,299.6,306.4,1616,18.3,28,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00863,302.8,317.8,2727,24.8,105,0.25,75,45,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00864,300.6,315.5,2345,16.9,161,0.03,97,58,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00865,300.8,308.6,2341,28.2,201,0.07,93,55,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00866,305.9,315.2,2150,83.2,247,0.56,43,26,watch,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00867,300.4,312.0,1800,53.5,9,0.0,99,60,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00868,298.4,316.0,2457,16.1,31,0.02,98,58,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00869,302.3,313.6,2569,16.0,174,0.23,77,46,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00870,296.9,316.6,2433,76.8,70,0.41,59,35,watch,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00871,306.2,313.7,2400,35.0,157,0.08,92,55,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00872,299.1,312.2,1265,69.1,238,0.82,18,10,critical,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00873,298.6,309.9,2565,39.6,106,0.14,86,51,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00874,299.5,307.4,1776,69.0,185,0.74,26,15,critical,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00875,298.3,308.5,1910,37.0,133,0.0,99,60,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00876,302.3,307.4,2297,64.8,95,0.48,52,31,watch,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00877,296.7,309.4,2679,16.4,48,0.16,84,50,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00878,299.6,316.9,1865,61.2,211,0.52,48,28,watch,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00879,304.0,314.9,1493,34.7,164,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00880,299.9,312.5,2746,38.2,28,0.14,86,51,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00881,306.2,306.3,2443,58.5,213,0.3,70,42,watch,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00882,296.9,311.2,1492,74.0,196,0.67,32,19,critical,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00883,296.5,313.9,2600,83.3,217,0.47,53,31,watch,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00884,296.1,315.1,2634,52.0,32,0.14,86,51,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00885,301.5,307.4,1374,60.3,39,0.09,91,54,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00886,302.8,312.4,2128,20.7,138,0.0,99,60,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00887,296.1,311.2,2555,23.2,9,0.12,88,52,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00888,299.1,310.3,2084,63.8,200,0.69,31,18,critical,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00889,306.1,312.9,1358,74.6,231,0.94,12,3,critical,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00890,306.0,311.1,2165,44.3,74,0.03,97,58,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00891,300.2,310.0,1612,68.4,16,0.66,34,20,critical,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00892,306.6,314.3,1680,63.6,68,0.34,65,39,watch,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00893,300.6,310.5,2008,23.5,3,0.0,99,60,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00894,305.1,314.6,1534,58.2,49,0.06,94,56,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00895,295.2,305.5,2718,27.2,44,0.16,84,50,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00896,300.1,308.7,1661,39.1,42,0.0,99,60,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00897,299.9,310.5,1498,56.5,154,0.03,97,58,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00898,301.1,316.8,2307,74.4,213,0.61,39,23,critical,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00899,304.3,316.2,1853,32.9,150,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00900,302.6,310.3,2475,63.0,140,0.6,40,24,critical,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00901,296.7,313.6,2036,39.7,79,0.0,99,60,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00902,297.4,313.4,2026,34.8,73,0.0,99,60,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00903,302.5,306.5,2154,46.1,127,0.08,92,55,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00904,296.1,311.8,1805,71.6,83,0.53,47,28,watch,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00905,302.1,306.8,1573,37.7,165,0.05,95,57,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00906,295.3,305.5,2387,42.0,101,0.09,91,54,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00907,307.4,308.9,2045,41.8,20,0.03,97,58,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00908,297.9,313.0,2572,64.4,161,0.46,54,32,watch,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00909,305.4,311.0,2266,44.0,169,0.05,95,57,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00910,306.4,309.9,1767,31.0,127,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00911,306.8,312.9,1252,52.9,69,0.14,86,51,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00912,300.2,314.4,1291,70.9,49,0.62,38,22,critical,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00913,307.7,316.6,2412,66.9,232,0.53,47,28,watch,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00914,295.7,311.3,1864,35.5,81,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00915,298.0,306.4,1436,33.8,102,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00916,298.6,314.7,2320,27.9,192,0.05,95,57,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00917,307.0,308.2,1740,77.8,245,0.54,46,27,watch,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00918,301.0,306.1,2729,22.8,244,0.37,63,37,watch,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00919,303.0,306.9,1855,41.2,0,0.03,97,58,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00920,298.8,315.4,1421,48.2,94,0.05,95,57,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00921,302.1,312.2,2374,24.5,232,0.39,61,36,watch,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00922,299.6,309.5,2643,76.4,31,0.6,40,24,critical,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00923,296.8,311.9,2520,32.1,47,0.14,86,51,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00924,297.6,316.4,2132,42.4,8,0.02,98,58,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00925,298.8,313.5,1410,74.4,81,0.61,39,23,critical,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00926,306.0,313.7,1614,52.0,139,0.0,99,60,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00927,303.2,313.0,2119,82.4,197,0.6,40,24,critical,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00928,297.3,309.9,2691,63.7,94,0.54,46,27,watch,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00929,297.6,308.7,1628,53.1,173,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00930,298.0,307.0,2514,40.3,205,0.33,67,40,watch,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00931,303.4,306.6,1348,20.9,172,0.37,63,37,watch,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00932,298.1,312.2,2453,28.6,245,0.2,80,48,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00933,295.9,305.9,1572,83.3,209,0.36,64,38,watch,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00934,299.7,317.2,1523,15.4,130,0.23,77,46,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00935,295.1,308.4,1485,45.9,70,0.0,99,60,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00936,300.3,310.2,1782,58.4,226,0.69,31,18,critical,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00937,296.4,316.5,2262,35.9,5,0.03,97,58,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00938,297.8,308.9,2156,67.2,21,0.77,23,13,critical,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00939,306.2,306.0,1469,34.2,45,0.04,96,57,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00940,303.0,312.5,1621,81.1,108,0.63,37,22,critical,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00941,295.9,312.6,1404,83.7,17,0.58,42,25,watch,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00942,299.4,309.6,2337,38.8,38,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
