asset_id,platform_name,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],vibration_g_rms,hydraulic_pressure_psi,ml_failure_prob,readiness_score,predicted_rul_days,status,ml_model_applied
IND-ARMY-0804,T-90 Bhishma,297.6,309.4,1674,33.7,43,0.054,193,0.0,99,60,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-1923,BMP-2 Sarath,309.8,319.2,2015,82.8,209,1.1016,142,0.48,52,31,watch,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0185,Arjun Mk-II MBT,298.1,309.1,2149,30.3,105,0.0752,186,0.07,93,55,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0333,K9 Vajra 155mm,297.5,306.3,1584,25.2,77,0.052,192,0.0,99,60,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0320,T-90 Bhishma,300.5,307.1,1412,19.4,64,0.0641,190,0.02,98,58,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0053,T-90 Bhishma,299.8,310.4,2510,18.2,15,0.075,195,0.13,87,52,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0146,NAMICA ATGM,298.5,307.2,2230,44.5,74,0.0665,187,0.03,97,58,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0631,NAMICA ATGM,299.3,308.3,1681,37.6,73,0.0743,185,0.03,97,58,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-1098,Arjun Mk-II MBT,300.4,310.2,1805,43.3,101,0.0762,197,0.0,99,60,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0096,BMP-2 Sarath,298.5,307.2,1852,19.4,54,0.0686,186,0.0,99,60,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0025,Arjun Mk-II MBT,297.4,308.2,2337,36.7,76,0.0611,192,0.0,99,60,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0525,T-90 Bhishma,297.9,310.5,1310,21.2,17,0.0645,191,0.04,96,57,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-1774,Arjun Mk-II MBT,311.5,323.3,1573,85.2,199,1.0441,153,0.55,44,26,watch,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0773,NAMICA ATGM,299.5,310.2,2366,27.8,100,0.045,193,0.03,97,58,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0568,T-90 Bhishma,298.3,310.9,1483,41.2,52,0.0668,186,0.0,99,60,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0115,T-90 Bhishma,299.8,306.3,2067,29.0,104,0.0574,208,0.03,97,58,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0360,T-90 Bhishma,296.2,308.8,2564,18.6,58,0.0777,199,0.15,85,51,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0049,Arjun Mk-II MBT,298.7,308.7,1493,43.2,52,0.0423,199,0.0,99,60,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0896,BMP-2 Sarath,299.7,306.1,2151,31.2,38,0.0631,187,0.05,95,57,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0125,K9 Vajra 155mm,299.0,306.5,1684,18.5,37,0.0559,212,0.0,99,60,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-1132,Arjun Mk-II MBT,297.6,309.0,1794,44.1,62,0.0485,208,0.0,99,60,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0314,NAMICA ATGM,300.1,309.5,2357,44.2,88,0.0752,186,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0227,T-90 Bhishma,299.2,307.2,1694,28.8,61,0.0446,213,0.0,99,60,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0814,Arjun Mk-II MBT,296.7,308.5,2059,43.9,94,0.0754,214,0.0,99,60,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0289,T-90 Bhishma,298.0,308.4,1589,45.4,103,0.0659,212,0.0,99,60,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-1511,K9 Vajra 155mm,303.5,315.4,1893,63.3,125,0.1833,171,0.41,59,35,watch,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0764,BMP-2 Sarath,299.3,310.6,2151,42.3,109,0.0707,205,0.03,97,58,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-1294,K9 Vajra 155mm,296.2,308.6,1683,28.8,94,0.0615,213,0.0,99,60,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-1223,K9 Vajra 155mm,296.7,307.8,2529,39.1,26,0.0651,197,0.11,89,53,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-1083,NAMICA ATGM,298.9,310.6,1648,47.4,19,0.0702,185,0.0,99,60,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0470,NAMICA ATGM,296.7,309.5,1363,35.8,40,0.0531,205,0.0,99,60,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-1793,K9 Vajra 155mm,311.4,321.5,2418,86.6,217,1.2157,140,0.5,50,30,watch,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0173,Arjun Mk-II MBT,297.4,309.6,1539,24.9,25,0.0652,206,0.0,99,60,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-1178,NAMICA ATGM,297.3,309.9,1652,39.6,98,0.0612,196,0.0,99,60,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-1500,Arjun Mk-II MBT,302.5,313.1,2161,66.2,137,0.2123,173,0.59,41,24,watch,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-1054,BMP-2 Sarath,298.0,306.1,1551,21.4,42,0.0749,190,0.0,99,60,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-1656,BMP-2 Sarath,304.1,316.4,1410,61.8,174,0.2019,161,0.52,48,28,watch,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-1278,BMP-2 Sarath,297.4,309.2,2210,30.1,66,0.0455,209,0.02,98,58,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0099,BMP-2 Sarath,298.7,308.8,1301,36.5,96,0.0747,185,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-1213,NAMICA ATGM,296.5,306.7,2283,46.6,62,0.0772,209,0.09,91,54,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-1961,BMP-2 Sarath,310.6,321.8,2273,71.0,236,1.0632,139,0.54,46,27,watch,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-1307,NAMICA ATGM,298.6,306.4,2565,25.8,93,0.0409,192,0.14,86,51,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-1466,T-90 Bhishma,303.8,314.1,2133,53.4,170,0.2086,170,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0042,K9 Vajra 155mm,297.9,306.3,1911,38.2,29,0.0553,188,0.0,99,60,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-1686,Arjun Mk-II MBT,306.3,315.7,2227,65.5,178,0.1357,165,0.48,52,31,watch,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-1202,NAMICA ATGM,300.2,310.9,2596,20.7,47,0.0669,189,0.15,85,51,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-1885,NAMICA ATGM,308.8,320.4,1911,87.5,235,1.1005,137,0.55,44,26,watch,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0006,Arjun Mk-II MBT,297.6,306.8,2033,18.8,86,0.0451,214,0.0,99,60,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0037,Arjun Mk-II MBT,300.6,308.4,2489,20.6,102,0.0527,186,0.07,93,55,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0486,Arjun Mk-II MBT,296.7,306.9,1892,40.0,58,0.0406,201,0.0,99,60,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0055,T-90 Bhishma,296.1,310.1,2161,31.2,29,0.0739,207,0.02,98,58,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0802,BMP-2 Sarath,297.6,309.9,1726,23.5,22,0.0715,202,0.0,99,60,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-1371,NAMICA ATGM,300.0,306.6,1453,26.8,30,0.0537,213,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0780,K9 Vajra 155mm,300.1,307.1,2037,31.6,71,0.078,188,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0803,K9 Vajra 155mm,299.0,307.4,1425,19.5,41,0.0644,188,0.02,98,58,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0321,NAMICA ATGM,299.9,309.9,1454,29.7,105,0.0623,209,0.0,99,60,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-1296,BMP-2 Sarath,298.7,310.1,2198,44.1,14,0.0401,208,0.0,99,60,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0388,BMP-2 Sarath,300.8,310.9,1695,41.1,47,0.0524,206,0.0,99,60,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-1685,BMP-2 Sarath,302.2,314.8,1372,53.3,176,0.202,182,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-1717,K9 Vajra 155mm,302.0,313.1,2390,50.8,179,0.1966,181,0.05,95,57,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0098,K9 Vajra 155mm,297.5,308.9,1915,24.1,103,0.0668,190,0.0,99,60,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-1077,BMP-2 Sarath,296.8,307.1,2161,28.6,56,0.0659,187,0.04,96,57,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0279,NAMICA ATGM,300.4,310.9,1371,29.1,47,0.0458,203,0.03,97,58,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-1736,Arjun Mk-II MBT,304.6,315.7,1583,54.0,166,0.1952,174,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0511,T-90 Bhishma,296.9,306.1,1828,36.6,54,0.0734,188,0.0,99,60,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-1299,Arjun Mk-II MBT,296.4,307.0,1655,28.4,63,0.0429,197,0.0,99,60,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-1528,K9 Vajra 155mm,304.4,312.5,2497,52.5,148,0.1826,177,0.18,82,49,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-1030,Arjun Mk-II MBT,298.5,308.1,1891,45.7,84,0.0483,187,0.0,99,60,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0377,T-90 Bhishma,297.5,306.8,1865,22.4,39,0.0537,185,0.0,99,60,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-1671,T-90 Bhishma,302.5,312.0,2341,53.7,152,0.1218,176,0.1,90,54,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0133,NAMICA ATGM,297.5,307.8,2450,34.8,57,0.0505,186,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-1749,NAMICA ATGM,306.8,316.7,1993,55.0,128,0.1254,181,0.0,99,60,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-1461,T-90 Bhishma,304.0,313.0,2434,62.4,137,0.1913,173,0.48,52,31,watch,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0303,T-90 Bhishma,297.7,308.9,1647,38.8,82,0.0645,195,0.0,99,60,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0364,K9 Vajra 155mm,299.8,306.5,1930,27.6,38,0.0532,188,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-1229,K9 Vajra 155mm,297.7,311.0,2148,20.5,15,0.0721,209,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-1107,Arjun Mk-II MBT,299.4,310.1,2069,37.6,93,0.0701,203,0.0,99,60,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0599,T-90 Bhishma,301.0,308.4,2004,25.1,27,0.0498,200,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0019,Arjun Mk-II MBT,300.1,306.8,2449,26.6,102,0.0535,203,0.04,96,57,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0382,NAMICA ATGM,299.6,306.2,2526,44.7,43,0.0402,200,0.11,89,53,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0848,Arjun Mk-II MBT,296.9,310.3,2390,28.4,18,0.0554,194,0.03,97,58,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0549,BMP-2 Sarath,297.1,306.3,2560,32.2,68,0.0605,207,0.12,88,52,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0940,K9 Vajra 155mm,297.9,310.3,2390,22.2,25,0.049,210,0.02,98,58,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0175,K9 Vajra 155mm,298.4,307.1,2593,28.1,44,0.04,208,0.13,87,52,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-1536,T-90 Bhishma,305.8,313.6,2404,59.7,167,0.1205,176,0.46,54,32,watch,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0495,BMP-2 Sarath,296.3,308.0,2547,24.6,91,0.0616,206,0.13,87,52,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0965,Arjun Mk-II MBT,300.6,310.9,2042,39.8,51,0.0589,196,0.0,99,60,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-1958,Arjun Mk-II MBT,308.6,322.5,1602,91.2,210,0.5762,143,0.46,54,32,watch,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0233,NAMICA ATGM,300.8,308.7,2248,31.6,32,0.0654,193,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0526,K9 Vajra 155mm,299.3,308.2,1827,24.5,24,0.0788,189,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0105,Arjun Mk-II MBT,298.7,310.5,1476,23.5,46,0.071,186,0.0,99,60,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0971,Arjun Mk-II MBT,298.1,307.7,1451,23.3,81,0.0682,204,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-1875,K9 Vajra 155mm,309.6,320.7,2488,91.8,220,0.6642,147,0.5,50,30,watch,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0547,BMP-2 Sarath,299.1,310.6,1804,37.6,92,0.0675,185,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-1199,BMP-2 Sarath,297.1,306.7,1927,22.5,64,0.0744,197,0.0,99,60,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-1445,BMP-2 Sarath,302.0,315.8,1574,51.4,145,0.2094,174,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0800,Arjun Mk-II MBT,299.8,306.6,1313,40.4,22,0.0697,189,0.0,99,60,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0747,NAMICA ATGM,296.3,307.4,1872,45.0,68,0.0749,195,0.0,99,60,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0735,BMP-2 Sarath,300.4,309.8,2028,20.0,54,0.061,203,0.0,99,60,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0154,K9 Vajra 155mm,299.6,310.0,1851,27.2,10,0.0562,205,0.0,99,60,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-1348,NAMICA ATGM,298.9,308.0,1333,25.9,107,0.0537,205,0.0,99,60,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0607,T-90 Bhishma,298.4,309.9,1993,18.6,39,0.0578,207,0.0,99,60,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0508,K9 Vajra 155mm,297.4,306.3,1865,34.5,69,0.0771,188,0.0,99,60,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0617,T-90 Bhishma,296.9,310.1,2444,24.9,107,0.0635,199,0.02,98,58,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-1490,BMP-2 Sarath,302.2,315.5,2368,54.6,180,0.2078,176,0.06,94,56,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0615,BMP-2 Sarath,297.6,310.5,2021,47.1,65,0.041,204,0.0,99,60,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0181,BMP-2 Sarath,296.8,306.6,1687,37.6,93,0.0741,198,0.0,99,60,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0270,NAMICA ATGM,296.6,308.5,2261,42.3,11,0.0791,187,0.02,98,58,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-1501,K9 Vajra 155mm,304.0,316.2,1999,51.8,142,0.159,177,0.0,99,60,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0196,T-90 Bhishma,300.3,306.7,2455,36.3,53,0.0655,202,0.03,97,58,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-1795,K9 Vajra 155mm,311.1,319.1,2352,83.1,224,0.9117,147,0.5,50,30,watch,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-1559,BMP-2 Sarath,306.8,313.5,1568,58.8,129,0.1473,176,0.21,79,47,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0933,Arjun Mk-II MBT,299.2,309.5,1343,34.6,43,0.0405,191,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-1450,K9 Vajra 155mm,302.4,314.4,1410,59.8,155,0.214,181,0.59,41,24,watch,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0083,BMP-2 Sarath,299.8,308.8,1749,36.0,85,0.0558,199,0.0,99,60,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-1934,Arjun Mk-II MBT,308.8,321.4,2318,83.2,219,0.9438,156,0.5,50,30,watch,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0586,T-90 Bhishma,296.4,309.1,1870,41.8,104,0.0515,201,0.0,99,60,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-1317,BMP-2 Sarath,298.9,310.5,2207,25.0,53,0.0654,211,0.0,99,60,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0477,Arjun Mk-II MBT,297.6,309.9,2141,23.2,77,0.0679,190,0.0,99,60,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0729,T-90 Bhishma,300.9,306.8,2200,29.0,35,0.0572,203,0.05,95,57,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-1883,Arjun Mk-II MBT,311.9,318.1,2159,90.2,197,1.0934,152,0.53,47,28,watch,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0275,T-90 Bhishma,298.1,308.4,2369,23.8,30,0.051,189,0.0,99,60,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0324,T-90 Bhishma,300.9,309.2,1901,32.6,45,0.0749,211,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-1957,BMP-2 Sarath,313.2,320.8,2314,87.3,193,1.4319,136,0.52,48,28,watch,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0943,T-90 Bhishma,298.9,309.4,1765,34.6,108,0.0709,195,0.0,99,60,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-1731,BMP-2 Sarath,304.5,315.8,2543,51.2,168,0.2107,168,0.16,84,50,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0514,BMP-2 Sarath,296.5,310.0,1433,43.1,41,0.0736,204,0.02,98,58,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0100,Arjun Mk-II MBT,296.4,310.6,1640,41.6,67,0.0438,195,0.0,99,60,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0442,NAMICA ATGM,298.9,310.9,2230,38.3,96,0.0547,201,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0613,BMP-2 Sarath,296.3,307.5,1614,35.6,31,0.0607,193,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0845,K9 Vajra 155mm,300.9,308.2,1450,33.7,31,0.0714,214,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-1164,Arjun Mk-II MBT,298.0,308.8,1918,46.6,22,0.0423,202,0.0,99,60,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-1044,Arjun Mk-II MBT,300.6,308.8,1613,44.4,22,0.0647,212,0.0,99,60,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0522,T-90 Bhishma,300.3,306.4,2107,25.2,56,0.0742,210,0.02,98,58,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-1645,BMP-2 Sarath,306.2,314.9,1478,64.4,132,0.1973,160,0.44,56,33,watch,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-1948,NAMICA ATGM,308.7,320.5,2131,86.5,241,0.8366,155,0.56,43,26,watch,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0120,BMP-2 Sarath,297.3,308.9,2169,26.0,73,0.0653,197,0.02,98,58,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-1721,NAMICA ATGM,305.2,313.7,1646,55.5,155,0.1388,170,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-1775,T-90 Bhishma,311.0,319.9,2482,87.1,210,0.4108,157,0.49,51,30,watch,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0720,K9 Vajra 155mm,296.5,309.5,2103,38.5,93,0.058,208,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0371,NAMICA ATGM,297.4,306.4,1827,47.7,58,0.0576,208,0.0,99,60,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-1091,K9 Vajra 155mm,297.4,308.8,1887,46.2,19,0.0719,192,0.0,99,60,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-1070,T-90 Bhishma,300.3,308.9,1608,18.6,104,0.0602,201,0.0,99,60,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0722,K9 Vajra 155mm,298.2,307.1,2550,22.2,36,0.0707,185,0.11,89,53,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0028,K9 Vajra 155mm,300.1,309.1,2370,39.9,74,0.0629,198,0.0,99,60,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0588,K9 Vajra 155mm,298.4,308.1,1932,47.6,50,0.0466,207,0.0,99,60,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0359,K9 Vajra 155mm,297.3,307.3,2380,24.0,95,0.0515,200,0.02,98,58,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-1127,BMP-2 Sarath,298.3,308.3,2222,38.1,38,0.0627,194,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0087,BMP-2 Sarath,296.2,306.3,2447,38.5,14,0.0714,186,0.06,94,56,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0348,Arjun Mk-II MBT,298.2,308.3,1729,31.7,66,0.0565,197,0.0,99,60,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-1138,BMP-2 Sarath,297.7,307.7,2543,35.6,29,0.0735,197,0.09,91,54,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-1891,K9 Vajra 155mm,311.2,323.0,2255,79.2,209,1.1632,147,0.49,51,30,watch,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0161,K9 Vajra 155mm,299.7,309.9,2081,34.1,80,0.0537,200,0.0,99,60,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0439,NAMICA ATGM,300.7,306.8,2476,23.0,12,0.0491,199,0.08,92,55,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-1378,T-90 Bhishma,297.2,308.9,2370,26.3,68,0.0511,214,0.0,99,60,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-1347,NAMICA ATGM,300.0,310.7,1421,43.0,29,0.0713,205,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-1046,NAMICA ATGM,299.4,310.2,1789,18.6,23,0.0654,212,0.0,99,60,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-1953,K9 Vajra 155mm,309.9,321.8,2449,78.9,238,0.9437,152,0.53,47,28,watch,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-1080,K9 Vajra 155mm,299.7,307.9,1923,23.3,93,0.0614,205,0.03,97,58,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-1604,BMP-2 Sarath,303.5,312.7,1851,54.1,137,0.1868,168,0.0,99,60,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0561,BMP-2 Sarath,297.1,306.1,2545,33.5,77,0.0692,196,0.11,89,53,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0610,NAMICA ATGM,297.3,311.0,1453,26.4,81,0.0731,202,0.0,99,60,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-1654,NAMICA ATGM,304.4,316.9,2471,66.2,126,0.1603,165,0.46,54,32,watch,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-1592,BMP-2 Sarath,306.5,313.4,1670,58.9,128,0.1473,181,0.21,79,47,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-1847,BMP-2 Sarath,308.0,323.7,1376,78.0,217,0.7772,141,0.76,24,14,critical,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0166,NAMICA ATGM,296.7,310.0,2013,47.4,80,0.0582,206,0.0,99,60,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-1502,NAMICA ATGM,304.7,313.0,1342,50.2,164,0.1444,165,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0573,K9 Vajra 155mm,296.5,310.8,1313,32.9,95,0.0468,208,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0819,BMP-2 Sarath,297.9,307.5,2352,22.9,42,0.066,211,0.02,98,58,ready,AI4I 2020 Predictive Maintenance (UCI ML)
